category;subcategory;text;priority;tags;answer_pattern
Продукты - Карты;Дебетовые карты - MORE;Сколько стоит обслуживание карты MORE?;средний;новые клиенты;Выпуск и обслуживание карты MORE бесплатны для физических лиц при соблюдении условий банка.
Продукты - Карты;Дебетовые карты - MORE;Где можно использовать карту MORE?;высокий;новые клиенты;Карта MORE принимается во всех торговых точках, где есть терминалы для оплаты картами, в банкоматах для снятия наличных, для онлайн-покупок в интернете.
Продукты - Карты;Дебетовые карты - MORE;Как активировать карту MORE?;высокий;новые клиенты;Активация происходит автоматически при проведении первой успешной операции с использованием ПИН-кода: оплата в магазине или снятие наличных в банкомате.
Продукты - Карты;Дебетовые карты - Форсаж;Как получить карту Форсаж?;высокий;новые клиенты;Карта Форсаж - это карта мгновенного выпуска. Обратитесь в любое отделение ВТБ (Беларусь) с паспортом, и карта будет выдана сразу при обращении.
Продукты - Карты;Дебетовые карты - Форсаж;Что такое карта мгновенного выпуска?;средний;новые клиенты;Карта мгновенного выпуска - это карта, которая изготавливается и выдается клиенту непосредственно в отделении банка в течение нескольких минут после подачи заявления.
Продукты - Карты;Дебетовые карты - Форсаж;За сколько минут выдается карта Форсаж?;средний;новые клиенты;Карта Форсаж выдается в течение нескольких минут после оформления заявления в отделении банка.
Продукты - Карты;Дебетовые карты - Форсаж;Какие документы нужны для карты Форсаж?;высокий;новые клиенты;Для оформления карты Форсаж необходим только паспорт гражданина Республики Беларусь.
Продукты - Карты;Дебетовые карты - Форсаж;Можно ли сразу использовать карту Форсаж?;средний;новые клиенты;Да, карту Форсаж можно использовать сразу после получения и активации первой операцией с ПИН-кодом.
Продукты - Карты;Дебетовые карты - Форсаж;Какие лимиты у карты Форсаж?;высокий;новые клиенты;"Лимиты по карте «Форсаж» устанавливаются банком; подробные значения суточных и месячных лимитов указаны в условиях выпуска карты и в тарифах банка."
Продукты - Карты;Дебетовые карты - Форсаж;Сколько действует карта Форсаж?;средний;новые клиенты;Срок действия карты Форсаж указывается на самой карте. Обычно карты выдаются на 4 года.
Продукты - Карты;Дебетовые карты - Комплимент;Кто может оформить карту Комплимент?;высокий;новые клиенты;Карту Комплимент могут оформить граждане Республики Беларусь от 50 лет. Это специальное предложение для людей старшего возраста.
Продукты - Карты;Дебетовые карты - Комплимент;Какие льготы предоставляет карта Комплимент?;высокий;новые клиенты;Карта Комплимент предоставляет льготные условия обслуживания, специальные тарифы и привилегии для клиентов старшего возраста.
Продукты - Карты;Дебетовые карты - Комплимент;Как оформить премиальную карту Комплимент?;высокий;новые клиенты;Для оформления карты Комплимент обратитесь в отделение банка с паспортом. Карта относится к премиальному сегменту Gold.
Продукты - Карты;Дебетовые карты - Комплимент;Какой возраст для оформления карты Комплимент?;высокий;новые клиенты;Карта Комплимент предназначена для клиентов от 50 лет.
Продукты - Карты;Дебетовые карты - Комплимент;Сколько стоит карта Комплимент?;средний;новые клиенты;Информацию о стоимости обслуживания карты Комплимент уточняйте в тарифах банка или при оформлении в отделении.
Продукты - Карты;Дебетовые карты - Комплимент;Какие услуги включены в карту Комплимент?;высокий;новые клиенты;Карта Комплимент включает полный комплекс банковских услуг с учетом потребностей клиентов старшего возраста и премиальное обслуживание.
Продукты - Карты;Дебетовые карты - Signature;Как получить премиальную карту Signature?;высокий;новые клиенты;Для оформления премиальной карты Signature обратитесь в отделение банка. Карта предназначена для VIP-клиентов с особыми требованиями к сервису.
Продукты - Карты;Дебетовые карты - Signature;Какие привилегии у карты Signature?;высокий;новые клиенты;Карта Signature предоставляет премиальные привилегии: приоритетное обслуживание, специальные условия, расширенные лимиты, дополнительные сервисы.
Продукты - Карты;Дебетовые карты - Signature;Сколько стоит обслуживание карты Signature?;средний;новые клиенты;Тарифы по карте Signature указаны в прейскуранте банка. Уточняйте стоимость при оформлении.
Продукты - Карты;Дебетовые карты - Signature;Какие требования для оформления Signature?;высокий;новые клиенты;Для оформления карты Signature могут потребоваться подтверждение доходов и соответствие критериям премиального обслуживания.
Продукты - Карты;Дебетовые карты - Signature;Где принимается карта Signature?;высокий;новые клиенты;Карта Signature принимается во всем мире везде, где принимаются карты соответствующей платежной системы.
Продукты - Карты;Дебетовые карты - Infinite;Как оформить карту Infinite?;высокий;новые клиенты;Карта Infinite - это карта высшего уровня. Для оформления обратитесь к персональному менеджеру в отделении банка.
Продукты - Карты;Дебетовые карты - Infinite;Что входит в пакет услуг Infinite?;средний;новые клиенты;Карта Infinite включает максимальный набор привилегий: консьерж-сервис, страхование, доступ в VIP-залы, индивидуальные условия.
Продукты - Карты;Дебетовые карты - Infinite;Какие требования к доходам для Infinite?;высокий;новые клиенты;Для оформления карты Infinite установлены высокие требования к доходам клиента. Подробности уточняйте при консультации.
Продукты - Карты;Дебетовые карты - Infinite;Какие привилегии предоставляет Infinite?;высокий;новые клиенты;Infinite предоставляет все доступные привилегии банка: персональный менеджер, консьерж-сервис, специальные предложения партнеров.
Продукты - Карты;Кредитные карты - PLAT/ON;Где можно оформить карточку PLAT/ON?;высокий;новые клиенты;Карточку PLAT/ON можно оформить в интернет-банке или М-банкинге, в том числе виртуальную карточку, а также обратившись в любой офис Банка.
Продукты - Карты;Кредитные карты - PLAT/ON;Какие операции отражаются в бонусный период?;высокий;новые клиенты;В бонусный период отражаются безналичные операции покупки товаров и услуг в организации торговли/сервиса, совершенные по карточке PLAT/ON, за исключением операций с MCC, указанных на сайте банка vtb.by.
Продукты - Карты;Кредитные карты - PLAT/ON;Как отражаются операции по бонусным периодам?;высокий;новые клиенты;Операции по бонусным периодам отражаются по дате отражения по счету. Если бонусный период был изменен после совершения операции, но до ее отражения по счету, операция отразится по вновь установленному бонусному периоду.
Продукты - Карты;Кредитные карты - PLAT/ON;Как переключить бонусный период PLAT/ON?;высокий;новые клиенты;Переключить бонусный период можно через Интернет-банк или мобильное приложение VTB mBank в разделе управления картой PLAT/ON.
Продукты - Карты;Кредитные карты - PLAT/ON;Какой кредитный лимит по карте PLAT/ON?;высокий;новые клиенты;Максимальная сумма кредита по карте PLAT/ON составляет до 10 000 BYN для физической карты и до 5 000 BYN для виртуальной карты.
Продукты - Карты;Кредитные карты - PLAT/ON;Можно ли оформить виртуальную PLAT/ON?;высокий;новые клиенты;Да, доступна виртуальная карточка PLAT/ON Classic с кредитным лимитом до 5 000 BYN, которую можно оформить через Интернет-банк.
Продукты - Карты;Кредитные карты - PLAT/ON;Когда платеж по карте PLAT/ON?;средний;новые клиенты;Обязательный платеж по карте PLAT/ON необходимо вносить до 20 числа каждого месяца.
Продукты - Карты;Кредитные карты - Портмоне 2.0;Как оформить кредитную карту Портмоне 2.0?;высокий;новые клиенты;Кредитную карту Портмоне 2.0 можно оформить в любом отделении банка. Используется карточка мгновенного выпуска.
Продукты - Карты;Кредитные карты - Портмоне 2.0;Нужны ли справки для карты Портмоне?;средний;новые клиенты;Кредитная карта Портмоне 2.0 оформляется без справок о доходах и поручителей. Необходим только паспорт.
Продукты - Карты;Кредитные карты - Портмоне 2.0;Какой лимит по карте Портмоне 2.0?;высокий;новые клиенты;Кредитный лимит по карте Портмоне 2.0 устанавливается индивидуально в зависимости от платежеспособности клиента.
Продукты - Карты;Кредитные карты - Портмоне 2.0;За сколько выдается карта Портмоне?;средний;новые клиенты;Карта Портмоне 2.0 выдается сразу при обращении в отделение банка, так как это карточка мгновенного выпуска.
Продукты - Карты;Кредитные карты - Портмоне 2.0;Какая ставка по карте Портмоне 2.0?;высокий;новые клиенты;Процентная ставка по карте Портмоне 2.0 указана в тарифах банка. Уточняйте актуальную ставку при оформлении.
Продукты - Карты;Кредитные карты - Портмоне 2.0;Можно ли снимать наличные с Портмоне?;средний;новые клиенты;Да, с кредитной карты Портмоне 2.0 можно снимать наличные в банкоматах, но за эту операцию взимается комиссия согласно тарифам.
Продукты - Карты;Кредитные карты - Отличник;Кто может оформить карту Отличник?;высокий;новые клиенты;Карта Отличник - специальное предложение для действующих кредитополучателей банка ВТБ (Беларусь).
Продукты - Карты;Кредитные карты - Отличник;Нужна ли справка о доходах для Отличника?;средний;новые клиенты;Нет, заявка на карту Отличник рассматривается без справки о доходах для действующих клиентов банка.
Продукты - Карты;Кредитные карты - Отличник;Какой процент на остаток по карте Отличник?;высокий;новые клиенты;На остаток собственных денежных средств на счете по карте Отличник начисляется 0,01% годовых.
Продукты - Карты;Кредитные карты - Отличник;Как погашать задолженность по Отличнику?;высокий;новые клиенты;Погашение можно осуществлять через Интернет-банк, мобильное приложение, банкоматы ВТБ, отделения банка, через ЕРИП.
Продукты - Карты;Кредитные карты - Отличник;Какой кредитный лимит по Отличнику?;высокий;новые клиенты;Максимальный кредитный лимит по карте Отличник составляет 5 000 BYN на срок до 36 месяцев.
Продукты - Карты;Карты рассрочки - ЧЕРЕПАХА;Где можно оформить карту ЧЕРЕПАХА?;высокий;новые клиенты;Карту ЧЕРЕПАХА можно оформить бесплатно в любом офисе банка, онлайн в интернет-банке или мобильном приложении VTB mBank.
Продукты - Карты;Карты рассрочки - ЧЕРЕПАХА;Какой кредитный лимит я могу получить по карте ЧЕРЕПАХА?;высокий;новые клиенты;По карте ЧЕРЕПАХА доступен кредитный лимит до 5 000 BYN с возобновляемой линией, которая действует до 3 лет.
Продукты - Карты;Карты рассрочки - ЧЕРЕПАХА;Какие операции доступны по карточке ЧЕРЕПАХА?;высокий;новые клиенты;По карте ЧЕРЕПАХА доступны: покупки в рассрочку в магазинах-партнерах, снятие наличных, переводы и покупки в точках по всему миру.
Продукты - Карты;Карты рассрочки - ЧЕРЕПАХА;Как узнать текущий долг по ЧЕРЕПАХЕ?;высокий;новые клиенты;Информацию о текущей задолженности можно узнать в личном кабинете интернет-банка или в мобильном приложении VTB mBank в разделе информации по кредиту.
Продукты - Карты;Карты рассрочки - ЧЕРЕПАХА;В каких магазинах принимается ЧЕРЕПАХА?;высокий;новые клиенты;Карта ЧЕРЕПАХА принимается в широкой сети магазинов-партнеров. Полный список доступен на сайте cherepaha.vtb.by в разделе 'Магазины'.
Продукты - Карты;Карты рассрочки - ЧЕРЕПАХА;Какая рассрочка доступна по ЧЕРЕПАХЕ?;высокий;новые клиенты;По карте ЧЕРЕПАХА доступна рассрочка до 12 месяцев в зависимости от магазина-партнера и типа товара.
Продукты - Карты;Карты рассрочки - ЧЕРЕПАХА;Как погашать долг по ЧЕРЕПАХЕ?;высокий;новые клиенты;Погашение можно осуществлять через интернет-банк/мобильное приложение, банкоматы, отделения банка, ЕРИП и переводами с других карт.
Продукты - Карты;Карты рассрочки - ЧЕРЕПАХА;Можно ли пополнить карту ЧЕРЕПАХА?;средний;новые клиенты;Да, карту ЧЕРЕПАХА можно пополнять через банкоматы с функцией Cash-In, в отделениях банка, через интернет-банк.
Продукты - Карты;Карты рассрочки - КСТАТИ;Как оформить карту КСТАТИ?;высокий;новые клиенты;Карту рассрочки КСТАТИ можно оформить в отделениях банка или онлайн через интернет-банк и мобильное приложение VTB mBank.
Продукты - Карты;Карты рассрочки - КСТАТИ;В чем преимущества карты КСТАТИ?;средний;новые клиенты;Карта КСТАТИ предоставляет возможность покупок в рассрочку, удобное управление платежами, широкую сеть партнеров.
Продукты - Карты;Карты рассрочки - КСТАТИ;Какие лимиты по карте КСТАТИ?;высокий;новые клиенты;Лимиты по карте КСТАТИ устанавливаются индивидуально в зависимости от платежеспособности клиента.
Продукты - Карты;Карты рассрочки - КСТАТИ;Где принимается карта КСТАТИ?;высокий;новые клиенты;Карта КСТАТИ принимается в магазинах-партнерах банка, где доступна рассрочка, а также для обычных покупок.
Продукты - Карты;Карты рассрочки - КСТАТИ;Какая рассрочка по карте КСТАТИ?;высокий;новые клиенты;Рассрочка по карте КСТАТИ предоставляется на различные сроки в зависимости от магазина и товара.
Продукты - Карты;Карты рассрочки - КСТАТИ;Как узнать баланс карты КСТАТИ?;высокий;новые клиенты;Баланс и информацию по карте КСТАТИ можно узнать через интернет-банк, мобильное приложение или по телефону контакт-центра.
Продукты - Карты;Карты рассрочки - КСТАТИ;Можно ли заказать КСТАТИ онлайн?;средний;новые клиенты;Да, карту КСТАТИ можно заказать онлайн через интернет-банк или мобильное приложение VTB mBank.
Продукты - Кредиты;Потребительские - На всё про всё;Как оформить кредит На всё про всё?;высокий;новые клиенты;Для оформления кредита 'На всё про всё' обратитесь в любое отделение банка с паспортом. Кредит выдается на любые цели до 70 000 BYN на срок до 7 лет.
Продукты - Кредиты;Потребительские - На всё про всё;Какая максимальная сумма кредита?;высокий;новые клиенты;Максимальная сумма потребительского кредита 'На всё про всё' составляет 70 000 белорусских рублей.
Продукты - Кредиты;Потребительские - На всё про всё;Нужны ли справки для кредита?;средний;новые клиенты;Требования по документам зависят от суммы кредита. Для небольших сумм возможно оформление без справки о доходах.
Продукты - Кредиты;Потребительские - На всё про всё;На какой срок выдается кредит?;высокий;новые клиенты;Кредит 'На всё про всё' выдается на срок до 7 лет (84 месяца) в зависимости от суммы и платежеспособности.
Продукты - Кредиты;Потребительские - На всё про всё;Какие документы нужны для кредита?;высокий;новые клиенты;Для оформления кредита необходим паспорт, при необходимости - справка о доходах и документы, подтверждающие цель кредита.
Продукты - Кредиты;Потребительские - На всё про всё;Можно ли досрочно погасить кредит?;средний;новые клиенты;Да, досрочное погашение кредита возможно полностью или частично без штрафов и комиссий.
Продукты - Кредиты;Потребительские - Дальше - меньше;Что означает снижаемая ставка?;средний;новые клиенты;Кредит 'Дальше - меньше' предоставляется с процентной ставкой, которая ежегодно снижается, делая кредит более выгодным с течением времени.
Продукты - Кредиты;Потребительские - Дальше - меньше;Как работает кредит Дальше - меньше?;высокий;новые клиенты;Первый год вы платите по стандартной ставке, затем каждый год ставка автоматически снижается на установленный процент.
Продукты - Кредиты;Потребительские - Дальше - меньше;На сколько снижается ставка каждый год?;средний;новые клиенты;Размер ежегодного снижения ставки уточняйте при оформлении кредита, так как он зависит от условий программы.
Продукты - Кредиты;Потребительские - Дальше - меньше;Какая первоначальная ставка?;высокий;новые клиенты;Первоначальная процентная ставка по кредиту 'Дальше - меньше' устанавливается в соответствии с действующими тарифами банка.
Продукты - Кредиты;Потребительские - Дальше - меньше;Можно ли оформить онлайн?;высокий;новые клиенты;Заявку на кредит можно подать онлайн через сайт банка, но для окончательного оформления потребуется визит в отделение.
Продукты - Кредиты;Потребительские - Легко платить;Что такое льготные месяцы?;средний;новые клиенты;Льготные месяцы - это период в начале кредита, когда вы платите по сниженной ставке и можете не погашать основной долг.
Продукты - Кредиты;Потребительские - Легко платить;Как работает кредит Легко платить?;высокий;новые клиенты;Первые 4 месяца вы платите по сниженной ставке без погашения основного долга, что делает первоначальные платежи минимальными.
Продукты - Кредиты;Потребительские - Легко платить;Сколько месяцев льготный период?;средний;новые клиенты;Льготный период по кредиту 'Легко платить' составляет 4 месяца.
Продукты - Кредиты;Потребительские - Легко платить;Какая ставка после льготного периода?;высокий;новые клиенты;После окончания льготного периода действует стандартная процентная ставка согласно тарифам банка.
Продукты - Кредиты;Потребительские - Всё только начинается;Кто может оформить этот кредит?;высокий;новые клиенты;Кредит 'Всё только начинается' предназначен для клиентов старше 50 лет и предоставляет особые льготные условия.
Продукты - Кредиты;Потребительские - Всё только начинается;Какой возраст для кредита 50+?;высокий;новые клиенты;Кредит предназначен для граждан, которым исполнилось 50 лет и старше.
Продукты - Кредиты;Потребительские - Всё только начинается;Какие льготы для пенсионеров?;высокий;новые клиенты;Для пенсионеров предусмотрены льготные процентные ставки и упрощенные требования по документам.
Продукты - Кредиты;Потребительские - Всё только начинается;Какая максимальная сумма?;высокий;новые клиенты;Максимальная сумма кредита для клиентов 50+ определяется индивидуально с учетом платежеспособности.
Продукты - Кредиты;Потребительские - Старт;На какую сумму можно взять Старт?;высокий;новые клиенты;Сумма кредита 'Старт' определяется индивидуально в зависимости от доходов и платежеспособности клиента.
Продукты - Кредиты;Потребительские - Старт;Кто может оформить Старт?;высокий;новые клиенты;Кредит 'Старт' доступен всем работающим гражданам Республики Беларусь при соответствии требованиям банка.
Продукты - Кредиты;Онлайн кредиты - Проще в онлайн;Как оформить онлайн кредит?;высокий;новые клиенты;Онлайн кредит можно оформить через сайт vtb.by или мобильное приложение VTB mBank, заполнив заявку и загрузив необходимые документы.
Продукты - Кредиты;Онлайн кредиты - Проще в онлайн;Нужно ли приходить в банк?;средний;новые клиенты;При оформлении онлайн кредита 'Проще в онлайн' посещение банка не требуется - все процедуры проводятся дистанционно.
Продукты - Кредиты;Онлайн кредиты - Проще в онлайн;За сколько одобряется онлайн кредит?;средний;новые клиенты;Решение по онлайн кредиту принимается в максимально короткие сроки, часто в течение нескольких часов.
Продукты - Кредиты;Онлайн кредиты - Проще в онлайн;Какие документы загружать онлайн?;высокий;новые клиенты;Для онлайн кредита необходимо загрузить скан паспорта и, при необходимости, справку о доходах.
Продукты - Кредиты;Автокредиты - Автокредит без залога;На какие авто выдается кредит?;высокий;новые клиенты;Автокредит без залога выдается на покупку новых и подержанных автомобилей в автосалонах-партнерах банка.
Продукты - Кредиты;Автокредиты - Автокредит без залога;Какая максимальная сумма автокредита?;высокий;новые клиенты;Максимальная сумма автокредита без залога составляет до 70 000 BYN на срок до 10 лет.
Продукты - Кредиты;Автокредиты - Автокредит без залога;Нужно ли КАСКО для автокредита?;средний;новые клиенты;Требования по страхованию КАСКО уточняйте при оформлении автокредита, так как они могут различаться в зависимости от суммы и срока.
Продукты - Кредиты;Автокредиты - Автокредит без залога;Можно ли купить подержанное авто?;средний;новые клиенты;Да, автокредит без залога доступен как для новых, так и для подержанных автомобилей определенного возраста.
Продукты - Кредиты;Экспресс-кредиты - В магазинах-партнерах;В каких магазинах можно оформить?;высокий;новые клиенты;"Условия кредитования зависят от продукта; вы можете найти ставки, сроки и требования в разделе 'Кредиты' на сайте ВТБ (Беларусь)."
Продукты - Кредиты;Экспресс-кредиты - В магазинах-партнерах;За сколько одобряется экспресс-кредит?;средний;новые клиенты;Экспресс-кредит одобряется в течение нескольких минут прямо в магазине при наличии необходимых документов.
Продукты - Кредиты;Экспресс-кредиты - В магазинах-партнерах;Какие документы нужны в магазине?;высокий;новые клиенты;Для оформления экспресс-кредита в магазине достаточно паспорта и, при необходимости, справки о доходах.
Продукты - Кредиты;Экспресс-кредиты - На роднае;Что такое кредит На роднае?;средний;новые клиенты;Экспресс-кредит 'На ро́днае' предоставляет льготные условия для покупки товаров, произведенных в Республике Беларусь.
